3.494040166869160323e-03,3.699979072094006921e-03,2.095401053890218017e-03
3.494040166869160323e-03,3.699979072094006921e-03,2.095401053890218017e-03
2.532696710383776188e-03,2.699486009766304592e-03,1.124630275168889788e-03
2.223039312663717838e-03,2.377237362568055366e-03,8.119407362067891437e-04
2.161134319058390270e-03,2.312816316406325276e-03,7.494298355010620225e-04
2.842575055249073942e-03,3.021973944613523099e-03,1.437545111029955988e-03
3.152674662785646086e-03,3.344701522742640244e-03,1.750685568682714289e-03
2.594654693498088874e-03,2.763964442355032643e-03,1.187195208202768875e-03
2.099238148226923589e-03,2.248404824719355596e-03,6.869279311112673437e-04
2.099238148226923589e-03,2.248404824719355596e-03,6.869279311112673437e-04
2.284953131558682075e-03,2.377237362568055366e-03,2.314907999125852527e-03
2.501721033190622279e-03,2.602786306564361298e-03,2.534525946614220749e-03
1.882670993368940190e-03,1.958671272805201542e-03,1.907340507402227213e-03
1.697127919383293118e-03,1.765622900133262743e-03,1.719361360662818167e-03
2.594654693498088874e-03,2.699486009766304592e-03,2.628681932219424817e-03
2.377840412824637744e-03,2.473886852652777604e-03,2.409016377962805953e-03
1.758966803426762664e-03,1.829962823495922359e-03,1.782012036175907024e-03
1.635297839281251884e-03,1.701292507199268994e-03,1.656719721739382525e-03
1.295389657218484585e-03,1.347645576384359258e-03,1.312352120280221466e-03
1.326279410203082309e-03,1.379783400197741577e-03,1.343646984779698966e-03
1.635297839281251884e-03,1.701292507199268994e-03,1.656719721739382525e-03
2.068293370565714093e-03,2.151805495630875874e-03,2.095401053890218017e-03
2.130185130953087935e-03,2.216202660918348277e-03,2.158106003739679053e-03
1.882670993368940190e-03,1.958671272805201542e-03,1.907340507402227213e-03
2.099238148226923589e-03,2.184002884673461650e-03,2.126752397120020444e-03
2.377840412824637744e-03,2.473886852652777604e-03,2.409016377962805953e-03
2.408807255285130497e-03,2.506108129657130899e-03,2.440390369806219248e-03
1.728046260755683981e-03,1.797791670334504890e-03,1.750685568682714289e-03
1.048350696118659220e-03,1.090628565241573552e-03,1.062074354008771607e-03
1.449860397564107584e-03,1.508358482745321590e-03,1.468848998447762214e-03
2.315913351276221825e-03,2.409451469462917713e-03,2.346275192950009799e-03
2.315913351276221825e-03,2.409451469462917713e-03,2.346275192950009799e-03
2.006410429180990364e-03,2.087417877736316620e-03,2.032705156292775699e-03
1.264502101151092741e-03,1.315510130596442067e-03,1.281059510697764650e-03
1.511664080876586914e-03,1.572660301326460341e-03,1.531463543236669892e-03
2.130185130953087935e-03,2.216202660918348277e-03,2.158106003739679053e-03
1.820814493919094669e-03,1.894312280111351858e-03,1.844671750886138408e-03
1.848192730509824256e-04,1.922649549161292574e-04,1.872362529123692914e-04
-0.000000000000000000e+00,-0.000000000000000000e+00,-0.000000000000000000e+00
2.068293370565714093e-03,2.151805495630875874e-03,2.095401053890218017e-03
2.594654693498088874e-03,2.699486009766304592e-03,2.628681932219424817e-03
8.323068176398273682e-04,8.658633853089392962e-04,8.431995609875186882e-04
8.631636496470177292e-04,6.412144703922595173e-04,6.244350204482061783e-04
1.573476560614130290e-03,1.379783400197741577e-03,1.343646984779698966e-03
1.789889547710052245e-03,1.604814781176979854e-03,1.562774201258395647e-03
1.357171360417231331e-03,1.154868559723466010e-03,1.124630275168889788e-03
9.248838916188038958e-04,7.053880178904754945e-04,6.869279311112673437e-04
1.140973839803919752e-03,9.300701391075813203e-04,9.057239610239948549e-04
1.789889547710052245e-03,1.604814781176979854e-03,1.562774201258395647e-03
2.006410429180990364e-03,1.829962823495922359e-03,1.782012036175907024e-03
1.542569221035688162e-03,1.347645576384359258e-03,1.312352120280221466e-03
1.542569221035688162e-03,1.347645576384359258e-03,1.312352120280221466e-03
1.264502101151092741e-03,1.058512130994905412e-03,1.030799772070204639e-03
1.079222882511887693e-03,8.658633853089392962e-04,8.431995609875186882e-04
1.048350696118659220e-03,8.337635677176259003e-04,8.119407362067891437e-04
1.697127919383293118e-03,1.508358482745321590e-03,1.468848998447762214e-03
1.851741642367450312e-03,1.669130883760769216e-03,1.625402290184180254e-03
1.573476560614130290e-03,1.379783400197741577e-03,1.343646984779698966e-03
1.171852611326984180e-03,1.219118057866186823e-03,1.187195208202768875e-03
1.697127919383293118e-03,1.765622900133262743e-03,1.719361360662818167e-03
2.532696710383776188e-03,2.635017148681099465e-03,2.565909007068115089e-03
2.780581695368843087e-03,2.892950033413998600e-03,2.817055165232686207e-03
2.811577269153820325e-03,2.925202417811377520e-03,2.848458649240987687e-03
2.563674597047922114e-03,2.667250382963406562e-03,2.597294335493956826e-03
1.728046260755683981e-03,1.797791670334504890e-03,1.750685568682714289e-03
1.048350696118659220e-03,1.090628565241573552e-03,1.062074354008771607e-03
6.163703587873989699e-04,6.412144703922595173e-04,6.244350204482061783e-04
1.264502101151092741e-03,1.315510130596442067e-03,1.281059510697764650e-03
1.944536304285973335e-03,2.023039804404135229e-03,1.970018308334114780e-03
2.130185130953087935e-03,2.216202660918348277e-03,2.158106003739679053e-03
1.264502101151092741e-03,1.315510130596442067e-03,1.281059510697764650e-03
4.621957390053045307e-04,4.808220757992543500e-04,4.682420743649453611e-04
5.546939428769969479e-04,5.770504041009153406e-04,5.619511009240866746e-04
1.233616741688240434e-03,1.283377062481949127e-03,1.249769155707207077e-03
2.161134319058390270e-03,2.248404824719355596e-03,2.189461874075977581e-03
2.284953131558682075e-03,2.377237362568055366e-03,2.314907999125852527e-03
2.192085712857080523e-03,2.280609376430575794e-03,2.220820008455624307e-03
1.542569221035688162e-03,1.604814781176979854e-03,1.562774201258395647e-03
6.163703587873989699e-04,6.412144703922595173e-04,6.244350204482061783e-04
5.238590192315043014e-04,5.449719255323808758e-04,5.307125120307112573e-04
1.511664080876586914e-03,1.572660301326460341e-03,1.531463543236669892e-03
2.130185130953087935e-03,2.216202660918348277e-03,2.158106003739679053e-03
1.789889547710052245e-03,1.862136359970439871e-03,1.813340763468331398e-03
2.006410429180990364e-03,2.087417877736316620e-03,2.032705156292775699e-03
1.048350696118659220e-03,1.090628565241573552e-03,1.062074354008771607e-03
1.202733578517618460e-03,1.251246371689062253e-03,1.218481054983788130e-03
2.192085712857080523e-03,2.280609376430575794e-03,2.220820008455624307e-03
2.192085712857080523e-03,2.280609376430575794e-03,2.220820008455624307e-03
1.357171360417231331e-03,1.411923602388321557e-03,1.374944104521049707e-03
1.388065508173683214e-03,1.444066183308441702e-03,1.406243479829438715e-03
1.635297839281251884e-03,1.701292507199268994e-03,1.656719721739382525e-03
1.511664080876586914e-03,1.572660301326460341e-03,1.531463543236669892e-03
1.357171360417231331e-03,1.411923602388321557e-03,1.374944104521049707e-03
1.882670993368940190e-03,1.958671272805201542e-03,1.907340507402227213e-03
2.161134319058390270e-03,2.248404824719355596e-03,2.189461874075977581e-03
2.253995118792784160e-03,2.345025645000708807e-03,2.283543070653554913e-03
2.161134319058390270e-03,2.248404824719355596e-03,2.189461874075977581e-03
1.820814493919094669e-03,1.894312280111351858e-03,1.844671750886138408e-03
2.315913351276221825e-03,2.409451469462917713e-03,2.346275192950009799e-03
2.006410429180990364e-03,2.087417877736316620e-03,2.032705156292775699e-03
2.656621517018146680e-03,2.763964442355032643e-03,2.691463931881137202e-03
2.718597183466979570e-03,2.828452449289665764e-03,2.754255008677171986e-03
2.346875778259891864e-03,2.441667966039587963e-03,2.377644652453137462e-03
2.501721033190622279e-03,2.602786306564361298e-03,2.534525946614220749e-03
2.656621517018146680e-03,2.763964442355032643e-03,2.691463931881137202e-03
2.594654693498088874e-03,2.699486009766304592e-03,2.628681932219424817e-03
2.037350797655053392e-03,2.119610493436365622e-03,2.064051973723318029e-03
3.183696805154099391e-03,3.312417970830111840e-03,3.225477683469159772e-03
3.711412548034529954e-03,3.861564995713960557e-03,3.760148873306777204e-03
3.245747738522055791e-03,3.376987474651644942e-03,3.288346022013163145e-03
2.594654693498088874e-03,2.699486009766304592e-03,2.628681932219424817e-03
2.470747565153112810e-03,2.570557856258008297e-03,2.503145153804277930e-03
2.284953131558682075e-03,2.377237362568055366e-03,2.314907999125852527e-03
1.728046260755683981e-03,1.797791670334504890e-03,1.750685568682714289e-03
2.099238148226923589e-03,2.184002884673461650e-03,2.126752397120020444e-03
2.006410429180990364e-03,2.087417877736316620e-03,2.032705156292775699e-03
2.130185130953087935e-03,2.216202660918348277e-03,2.158106003739679053e-03
2.625637000049759785e-03,2.731724029445136478e-03,2.660071797572512338e-03
3.369876208649865996e-03,3.506155289390158053e-03,3.414110008095256818e-03
3.835674203218038605e-03,3.990877035348286243e-03,3.886049579190217415e-03
3.525086703816471007e-03,3.667669100580142009e-03,3.571366222256265339e-03
3.338840764901888827e-03,3.473859733926109705e-03,3.382665597126719142e-03
2.966588329050956225e-03,3.086500277382594592e-03,3.005510139725242526e-03
3.649295050695870995e-03,3.796923411624492529e-03,3.697212204563456086e-03
3.928893782562687537e-03,4.087886338883266711e-03,3.980499066365822750e-03
3.494040166869160323e-03,3.635361532634972734e-03,3.539910423748840115e-03
2.594654693498088874e-03,2.699486009766304592e-03,2.628681932219424817e-03
2.253995118792784160e-03,2.345025645000708807e-03,2.283543070653554913e-03
2.563674597047922114e-03,2.667250382963406562e-03,2.597294335493956826e-03
2.935581690555376377e-03,3.054235912603893693e-03,2.974095297807419734e-03
2.873575053970434199e-03,2.989714373055269055e-03,2.911272430360502348e-03
3.338840764901888827e-03,3.473859733926109705e-03,3.382665597126719142e-03
3.587186436803363031e-03,3.732291447534228854e-03,3.634284655094104175e-03
2.780581695368843087e-03,2.892950033413998600e-03,2.817055165232686207e-03
2.377840412824637744e-03,2.473886852652777604e-03,2.409016377962805953e-03
2.099238148226923589e-03,2.184002884673461650e-03,2.126752397120020444e-03
2.346875778259891864e-03,2.441667966039587963e-03,2.377644652453137462e-03
2.563674597047922114e-03,2.667250382963406562e-03,2.597294335493956826e-03
1.913602547237210115e-03,1.990854346064829371e-03,1.938678277153067092e-03
2.470747565153112810e-03,2.570557856258008297e-03,2.503145153804277930e-03
2.780581695368843087e-03,2.892950033413998600e-03,2.817055165232686207e-03
2.656621517018146680e-03,2.763964442355032643e-03,2.691463931881137202e-03
2.935581690555376377e-03,3.054235912603893693e-03,2.974095297807419734e-03
3.525086703816471007e-03,3.667669100580142009e-03,3.571366222256265339e-03
2.470747565153112810e-03,2.570557856258008297e-03,2.503145153804277930e-03
8.014521778695503839e-04,8.337635677176259003e-04,8.119407362067891437e-04
2.068293370565714093e-03,2.151805495630875874e-03,2.095401053890218017e-03
1.975472264829300668e-03,2.055227648176805814e-03,2.001360601271874508e-03
2.130185130953087935e-03,2.216202660918348277e-03,2.158106003739679053e-03
2.377840412824637744e-03,2.473886852652777604e-03,2.409016377962805953e-03
2.192085712857080523e-03,2.280609376430575794e-03,2.220820008455624307e-03
1.511664080876586914e-03,1.572660301326460341e-03,1.531463543236669892e-03
1.295389657218484585e-03,1.347645576384359258e-03,1.312352120280221466e-03
1.017480704144720473e-03,1.058512130994905412e-03,1.030799772070204639e-03
1.171852611326984180e-03,1.219118057866186823e-03,1.187195208202768875e-03
1.728046260755683981e-03,1.797791670334504890e-03,1.750685568682714289e-03
2.563674597047922114e-03,2.667250382963406562e-03,2.597294335493956826e-03
2.192085712857080523e-03,2.280609376430575794e-03,2.220820008455624307e-03
1.140973839803919752e-03,1.186992120661515930e-03,1.155911615039335785e-03
6.780555349302842035e-04,7.053880178904754945e-04,6.869279311112673437e-04
1.110097263636218969e-03,1.154868559723466010e-03,1.124630275168889788e-03
7.705997300249051770e-04,8.016661225308491061e-04,7.806841611526529846e-04
4.005412127939788616e-04,4.166817002723928248e-04,4.057806213732125487e-04
9.557473022065846903e-04,9.942863867335720741e-04,9.682573638538355528e-04
